timestamp	action	finding	source_url	search_query	verify_http	body_length	verify_keywords	score	keep_discard	reason
2026-06-19T15:38:24Z	verify	NEURA Robotics Series C	https://neura-robotics.com/record-series-c/	Physical AI funding June 2026 NEURA Robotics Series C Tether	200	14550	NEURA, Series C, $1.4, Physical AI, Tether	5	Keep	HTTP 200; body_len=14550; keyword_hits=5/5; score=5
2026-06-19T15:38:24Z	verify	Hellbender Seed	https://hellbender.com/hellbender-secures-12-5m-seed-round-to-accelerate-domestic-manufacturing-of-physical-ai-and-launch-its-on-edge-camera-line/	Physical AI funding May 2026 Hellbender $12.5M Seed on-edge camera	200	2138	Hellbender, $12.5, Seed, Physical AI, on-edge	4	Keep	HTTP 200; body_len=2138; keyword_hits=5/5; score=4
2026-06-19T15:38:24Z	verify	Memories.ai Project LUCI	https://memories.ai/blog/project-luci-microsoft-build	Memories.ai Project LUCI visual memory robotics 2026	200	4872	Project LUCI, on-device, visual memory, wearables, IoT	5	Keep	HTTP 200; body_len=4872; keyword_hits=5/5; score=5
2026-06-19T15:38:24Z	verify	Memories.ai NVIDIA collaboration	https://memories.ai/blog/collaboration-with-nvidia	Memories.ai NVIDIA visual memory LUCI wearables robotics 2026	200	5909	Memories.ai, NVIDIA, visual memory, LUCI, wearables	5	Keep	HTTP 200; body_len=5909; keyword_hits=5/5; score=5
2026-06-19T15:38:24Z	verify	TwelveLabs Marengo/Pegasus	https://www.twelvelabs.io/product/models-overview	TwelveLabs Marengo Pegasus video foundation model 2026	200	6195	TwelveLabs, Marengo, Pegasus, video foundation, retrieval	5	Keep	HTTP 200; body_len=6195; keyword_hits=5/5; score=5
2026-06-19T15:38:24Z	verify	Rerun Physical AI data layer	https://rerun.io/docs/overview/what-is-rerun	Rerun Physical AI data layer robotics 2026	200	9623	Rerun, Physical AI, data layer, multimodal, robotics	5	Keep	HTTP 200; body_len=9623; keyword_hits=5/5; score=5
2026-06-19T15:38:24Z	verify	World Labs World API	https://www.worldlabs.ai/blog/announcing-the-world-api	World Labs World API 3D worlds 2026 Marble	200	7084	World API, World Labs, 3D worlds, Marble, spatial	5	Keep	HTTP 200; body_len=7084; keyword_hits=5/5; score=5
2026-06-19T15:38:24Z	verify	World Labs Spark 2.0	https://www.worldlabs.ai/blog/spark-2.0	World Labs Spark 2.0 3D Gaussian splatting mobile VR 2026	200	32724	Spark 2.0, 3D Gaussian, mobile, VR	4	Keep	HTTP 200; body_len=32724; keyword_hits=4/5; score=4
2026-06-19T15:38:24Z	verify	NVIDIA Cosmos 3	https://blogs.nvidia.com/blog/cosmos-3-physical-ai-open-world-foundation-model/	NVIDIA Cosmos 3 world foundation model Physical AI 2026	200	7767	Cosmos 3, Physical AI, world foundation, open, action	5	Keep	HTTP 200; body_len=7767; keyword_hits=5/5; score=5
2026-06-19T15:38:24Z	verify	General Intuition $300M raise talks	https://techcrunch.com/2026/06/18/general-intuition-in-talks-to-raise-300m-at-around-2b-valuation/	General Intuition $300M $2B valuation spatial temporal agents 2026	200	5022	General Intuition, $300 million, $2 billion, spatial, gaming	5	Keep	HTTP 200; body_len=5022; keyword_hits=5/5; score=5
2026-06-19T15:38:24Z	verify	Nomadic $8.4M Seed	https://www.webwire.com/ViewPressRel.asp?aId=352600	Nomadic raises $8.4M Physical AI spatial intelligence layer 2026	200	6726	Nomadic, $8.4M, Physical AI, spatial intelligence, funding	5	Keep	HTTP 200; body_len=6726; keyword_hits=5/5; score=5
2026-06-19T15:38:24Z	verify	Config $27M Seed	https://techcrunch.com/2026/05/11/koreas-biggest-manufacturers-back-config-the-tsmc-of-robot-data/	Config raises $27M Samsung robot data TSMC 2026 TechCrunch	200	7251	Config, $27 million, Samsung, robot data, TSMC	5	Keep	HTTP 200; body_len=7251; keyword_hits=5/5; score=5
2026-06-19T15:38:24Z	verify	DIC D2S Physical AI fund	https://www.dic-global.com/en/news/2026/ir/20260512170513.html	DIC D2S physical AI startup fund Zurich $62M 2026	200	10793	DIC D2S, physical AI, Zurich	3	Keep	HTTP 200; body_len=10793; keyword_hits=3/5; score=3
2026-06-19T15:38:24Z	verify	Agile Robots $800M round talks	https://startupfortune.com/softbank-is-in-early-talks-to-anchor-an-800-million-round-for-agile-robots-as-the-humanoid-race-enters-its-capital-intensive-phase/	Agile Robots $800M SoftBank humanoid robotics funding 2026	200	10205	Agile Robots, $800 million, SoftBank, humanoid, funding	5	Keep	HTTP 200; body_len=10205; keyword_hits=5/5; score=5
